reportar,tr. Refrenar reprimir o moderar una pasión de ánimo o a quien la tiene U. m. c. prnl.
amigable,adj. Dicho de una persona Afable inclinada a la amistad
wifi,"m. Inform. Sistema de conexión inalámbrica dentro de un área determinada entre dispositivos electrónicos y frecuentemente para acceso a internet U. t. en apos., y t. c. f."
quechua,"adj. Dicho de una persona De un pueblo indígena que al tiempo de la colonización del habitaba la región del y por ext., de otros indígenas pertenecientes al Imperio incaico U. t. c. s."
tapar,tr. Cubrir o cerrar lo que está descubierto o abierto
impulso,m. Acción y efecto de impulsar
tradicional,adj. Perteneciente o relativo a la tradición
estatal,adj. Perteneciente o relativo al Estado
razonable,adj. Adecuado conforme a razón
yelmo,m. Pieza de la armadura antigua que resguardaba la cabeza y el rostro y se componía de morrión visera y babera
mirar,tr. Dirigir la vista a un objeto U. t. c. intr. y c. prnl.
humildad,f. Virtud que consiste en el conocimiento de las propias limitaciones y debilidades y en obrar de acuerdo con este conocimiento
pintar,tr. Representar algo en una superficie con líneas y colores
entrevista,f. Acción y efecto de entrevistar o entrevistarse
sello,m. Trozo pequeño de papel con timbre oficial de figuras o signos grabados que se pega a ciertos documentos para darles valor y eficacia
fiebre,f. Fenómeno patológico que se manifiesta por elevación de la temperatura normal del cuerpo y mayor frecuencia del pulso y la respiración U. t. en pl. para designar ciertas enfermedades infecciosas que cursan con aumento de temperatura
insignificante,adj. De escasa importancia o relevancia
balanza,f. Aparato que sirve para pesar
transferir,tr. Pasar o llevar algo desde un lugar a otro
situar,tr. Poner a alguien o algo en determinado sitio o situación U. t. c. prnl.
ensayar,tr. Probar reconocer algo antes de usarlo
trueque,m. Acción y efecto de trocar o trocarse
mueca,f. Contorsión del rostro generalmente burlesca
jirón,m. Pedazo desgarrado del vestido o de otra ropa
fuerte,adj. Que tiene gran resistencia
fingir,tr. Dar a entender algo que no es cierto U. t. c. prnl.
persuadir,tr. Inducir mover obligar a alguien con razones a creer o hacer algo U. t. c. prnl.
tabú,m. Condición de las personas instituciones y cosas a las que no es lícito censurar o mencionar
gruñido,m. Voz del cerdo
tirar,tr. Dejar caer intencionadamente algo
cerveza,f. Bebida alcohólica hecha con granos germinados de cebada u otros cereales fermentados en agua y aromatizada con lúpulo boj casia etc.
yonqui,m. y f. En la jerga de la droga adicto a la heroína
corromper,tr. Alterar y trastrocar la forma de algo U. t. c. prnl.
sonriente,adj. Que sonríe
escabullir,intr. p. us. Salir de un encierro de una enfermedad o de un peligro
jarabe,m. Bebida que se hace cociendo azúcar en agua hasta que se espesa añadiéndole zumos refrescantes o sustancias medicinales
unidireccional,adj. De una sola dirección
nación,f. Conjunto de los habitantes de un país regido por el mismo Gobierno
indagación,f. Acción y efecto de indagar
yugo,m. Instrumento de madera al cual formando yunta se uncen por el cuello las mulas o por la cabeza o el cuello los bueyes y en el que va sujeta la lanza o pértigo del carro el timón del arado etc.
bachata,f. Canto popular dominicano
canción,f. Composición que se canta o hecha a propósito para que se le pueda poner música
fútbol,m. Juego entre dos equipos de once jugadores cada uno cuyo objetivo es hacer entrar en la portería contraria un balón que no puede ser tocado con las manos ni con los brazos salvo por el portero en su área de meta
ventilar,tr. Penetrar el aire o hacerlo correr en algún sitio U. t. c. prnl.
usual,adj. Común o habitual
jeque,m. Entre los musulmanes jefe religioso o político
orar,intr. Dirigirse mentalmente o de palabra a una divinidad o a una persona sagrada frecuentemente para hacerles una súplica
incipiente,adj. Que empieza
trastornar,tr. Invertir el orden regular de algo
imprimir,tr. Marcar en el papel o en otra materia las letras y otros caracteres gráficos mediante procedimientos adecuados
mecha,f. Cuerda retorcida o cinta tejida hecha de filamentos combustibles generalmente de algodón que se pone en las piqueras o mecheros de algunos aparatos del alumbrado y dentro de las velas y bujías
ingenio,m. Facultad del ser humano para discurrir o inventar con prontitud y facilidad
dinastía,f. Serie de príncipes soberanos pertenecientes a una familia
mediar,intr. Dicho de una cosa Llegar aproximadamente a su mitad
picante,adj. Que pica
notable,adj. Digno de nota atención o cuidado
queso,m. Producto obtenido por maduración de la cuajada de la leche con características propias para cada uno de los tipos según su origen o método de fabricación
gravitar,intr. Dicho de un cuerpo Moverse alrededor de otro por la atracción gravitatoria
utensilio,m. Objeto fabricado que se destina a un uso manual y doméstico U. m. en pl.
enfriar,tr. Poner o hacer que se ponga frío algo U. t. c. intr. y c. prnl.
yuguero,m. yuntero.
obesidad,f. Cualidad de obeso
traicionar,tr. Cometer traición
organización,f. Acción y efecto de organizar u organizarse
trayectoria,f. Línea descrita en el plano o en el espacio por un cuerpo en movimiento
eliminar,tr. Quitar o separar algo prescindir de
yesar,m. Terreno abundante en mineral de yeso que se puede beneficiar
karaoke,m. Diversión consistente en interpretar una canción sobre un fondo musical grabado mientras se sigue la letra que aparece en una pantalla
muralla,f. Muro u obra defensiva que rodea una plaza fuerte o protege un territorio
hastío,m. Repugnancia a la comida
solucionar,tr. Hacer que un problema una duda una dificultad o algo que los entraña dejen de existir  U. t. c. prnl.
néctar,m. Jugo azucarado producido por los nectarios que chupan las abejas y otros insectos
halo,m. Meteoro luminoso consistente en un cerco de colores pálidos que suele aparecer alrededor de los discos del Sol y de la Luna
volcar,tr. Torcer o inclinar algo parcial o totalmente de modo que caiga generalmente haciendo salir su contenido  U. t. c. prnl.
catéter,m. Med. Sonda que se introduce por cualquier conducto del organismo natural o artificial para explorarlo o dilatarlo o para servir de guía y vehículo a otros instrumentos
bisagra,f. Herraje de dos piezas con un eje común que sirve para unir dos superficies permitiendo el giro de ambas o de una sobre la otra
monólogo,m. soliloquio.
escoba,f. Utensilio compuesto por un haz de ramas flexibles o de filamentos de otro material sujetos normalmente al extremo de un palo o de un mango largo que sirve para limpiar el suelo
nodriza,f. ama mujer que amamanta a una criatura ajena
valiente,adj. Fuerte y robusto en su línea
yeguada,f. Conjunto de ganado caballar
oleaje,m. Sucesión continuada de olas
certeza,f. Conocimiento seguro y claro de algo
lingote,m. Trozo o barra de metal en bruto y principalmente de hierro plata oro o platino
virar,intr. Mudar de dirección en la marcha de un automóvil u otro vehículo semejante
guiñar,tr. Cerrar un ojo momentáneamente quedando el otro abierto a veces con disimulo por vía de señal o advertencia
huevo,m. Cuerpo redondeado de tamaño y dureza variables que producen las hembras de las aves o de otras especies animales y que contiene el germen del embrión y las sustancias destinadas a su nutrición durante la incubación
vendar,tr. Atar ligar o cubrir con una venda
quijada,f. Cada una de las dos mandíbulas de los vertebrados que tienen dientes
escoger,tr. Tomar o elegir una o más cosas o personas entre otras U. t. c. intr.
lámpara,f. Utensilio o aparato que colgado o sostenido sobre un pie sirve de soporte a una o varias luces artificiales
neuronal,adj. Anat. Perteneciente o relativo a la neurona
nuca,f. Parte alta de la cerviz correspondiente al lugar en que se une la columna vertebral con la cabeza
hampa,f. Conjunto de los maleantes especialmente de los organizados en bandas y con normas de conducta particulares
dialecto,m. Variedad de un idioma que no alcanza la categoría social de lengua
limar,"tr. Gastar o alisar un metal la madera etc., con la lima"
limpiar,tr. Quitar la suciedad o inmundicia de alguien o de algo U. t. c. prnl. U. t. en sent. fig.
jacuzzi,m. Bañera para hidromasaje
fotocopiar,tr. Reproducir algo mediante fotocopias
neceser,m. Caja o estuche con objetos de tocador costura etc.
ubicación,f. Acción y efecto de ubicar
dejadez,f. Pereza negligencia abandono de sí mismo o de las cosas propias
hélice,f. Conjunto de aletas que giran alrededor de un eje y empujan el fluido ambiente produciendo en él una fuerza de reacción que se utiliza principalmente para la propulsión de barcos y aeronaves
publicar,tr. Hacer notorio o patente por televisión radio periódicos o por otros medios algo que se quiere hacer llegar a noticia de todos
hiato,m. Solución de continuidad interrupción o separación espacial o temporal
umbral,m. Parte inferior o escalón por lo común de piedra y contrapuesto al dintel en la puerta o entrada de una casa
restringir,tr. Ceñir circunscribir reducir a menores límites
opuesto,adj. contrario que se muestra completamente diferente
lata,f. hojalata.
nafta,f. Fracción ligera del petróleo natural obtenida en la destilación de la gasolina como una parte de esta cuyas variedades se usan como materia prima en la petroquímica y algunas como disolventes
xilema,m. Bot. Tejido leñoso de las plantas vasculares que transporta principalmente agua y minerales de una parte a otra de estos organismos
jubilación,f. Acción y efecto de jubilar o jubilarse
pastel,adj. Dicho de un color De tono suave
perder,tr. Dicho de una persona Dejar de tener o no hallar aquello que poseía sea por culpa o descuido del poseedor sea por contingencia o desgracia
ironía,f. Burla fina y disimulada
sanar,tr. Restituir a alguien la salud que había perdido
germinación,f. Acción de germinar
sufrir,tr. Sentir físicamente un daño un dolor una enfermedad o un castigo U. t. c. intr.
renunciar,intr. Hacer dejación voluntaria dimisión o apartamiento de algo que se tiene o se puede tener  U. t. c. tr.
dinero,m. Moneda corriente
manipular,tr. Operar con las manos o con cualquier instrumento
durazno,m. duraznero variedad de melocotonero
frustración,f. Acción y efecto de frustrar
nanotecnología,f. Tecnología de los materiales y de las estructuras en la que el orden de magnitud se mide en nanómetros
abrir,tr. Descubrir o hacer patente lo que está cerrado u oculto   U. t. c. prnl.
tararear,tr. Cantar entre dientes y sin articular palabras
ramo,m. Rama de segundo orden o que sale de la rama madre
navaja,f. Cuchillo cuya hoja puede doblarse sobre el mango para que el filo quede guardado entre las dos cachas o en una hendidura a propósito
jamón,m. Pierna trasera del cerdo curada o cocida entera
asistir,tr. Acompañar a alguien en un acto público
extender,tr. Hacer que algo ocupe un espacio mayor que el que antes ocupaba U. t. c. prnl.
monstruo,m. Ser que presenta anomalías o desviaciones notables respecto a su especie
cinco,adj. Cuatro más uno U. t. c. pron. —¿
obediente,adj. Que obedece
simple,adj. Constituido por un solo elemento no compuesto
vejación,f. Acción y efecto de vejar
ropa,f. Prenda de vestir
gobernar,tr. Mandar con autoridad o regir algo U. t. c. intr.
industria,f. Maña y destreza o artificio para hacer algo
yesería,f. Fábrica de yeso
delito,m. Culpa quebrantamiento de la ley
puerto,m. Lugar en la costa o en las orillas de un río que por sus características naturales o artificiales sirve para que las embarcaciones realicen operaciones de carga y descarga embarque y desembarco etc.
nexo,m. nudo unión lazo
gustar,tr. Sentir y percibir el sabor de las cosas
exprimir,tr. Extraer el zumo o líquido de una cosa apretándola o retorciéndola
lúgubre,adj. fúnebre muy triste
quíntuple,adj. Cinco veces mayor o que contiene una cantidad cinco veces exactamente U. t. c. s. m.
proyectar,tr. Lanzar dirigir hacia delante o a distancia
nardo,m. espicanardo.
solicitud,f. Acción y efecto de solicitar
waterpolo,m. Dep. Juego practicado en una piscina entre dos equipos de siete jugadores cada uno que consiste en introducir el balón con la mano en la portería contraria mientras se nada
sentar,"tr. Poner o colocar a alguien en una silla banco etc., de manera que quede apoyado y descansando sobre las nalgas U. t. c. prnl."
casa,f. Edificio para habitar
útero,m. Órgano muscular hueco de las hembras de los mamíferos situado en el interior de la pelvis donde se produce la hemorragia menstrual y se desarrolla el feto hasta el parto
helada,f. Acción y efecto de helar producirse hielo
dedicar,tr. Destinar algo a un fin determinado
jadear,intr. Respirar anhelosamente por efecto de algún trabajo o ejercicio impetuoso
varar,tr. Sacar a la playa y poner en seco una embarcación para resguardarla de la resaca o de los golpes de mar o también para carenarla
jurar,tr. Afirmar o negar algo poniendo por testigo a Dios o en sí mismo o en sus criaturas
migaja,f. Parte más pequeña y menuda del pan que suele saltar o desmenuzarse al partirlo
yeísmo,m. Fon. Desaparición de la diferencia fonológica entre la consonante lateral palatal y la fricativa palatal sonora de manera que en la pronunciación no se distinguen palabras como  y
unilateral,adj. Que se refiere o se circunscribe solamente a una parte o a un aspecto de algo
maniobra,f. Operación material que se ejecuta con las manos
